time,lat,lon,alt,yaw,pitch,roll,vx,vy,vz,v_speed,yaw_rate,pitch_rate,roll_rate,pos,rpm,torque,temp,err,steering_vel,uncorrect_yaw,beta,yaw_term,steering_spd,steering_acel
0 days 00:00:01.100000,0.5694010141106776,-0.655320397636155,0.5009698425517319,1.1591545237150807,-0.09618785277965618,-0.6221494215970237,-2.6277691202736206,0.4080297624926004,0.45555263549463826,-2.6908370197748845,0.007391392391892577,0.016533484184541064,0.07163980438920824,-2.4052137378258623e-05,0.0015989140459679594,2.812714517091832,0.3444573176444595,-0.21963609764594202,-0.13061561469286403,-1.8766565559111787,-0.1848566552535975,-0.0,0.0015989140459679596,0.0
0 days 00:00:01.200000,0.5694010141106776,-0.6553205228181588,0.5019723202701205,1.1591490347480342,-0.1023527045121469,-0.620533555961089,-2.625529136794602,0.4006853328180927,0.45555263549463826,-2.6893633469120015,-0.005870140308611819,0.011444790311402645,0.06421651264545544,-2.4052137378258623e-05,0.0015989140459679594,2.812714517091832,0.3444573176444595,-0.21963609764594202,-0.13061561469286403,-1.8766619342259734,-0.1832947539331488,4.600714574954091e-06,0.0015989140459679596,0.0
0 days 00:00:01.300000,0.5694010141106776,-0.6553205228181588,0.5019723202701205,1.1591490347480342,-0.1023527045121469,-0.620533555961089,-2.625529136794602,0.4006853328180927,0.45555263549463826,-2.6893633469120015,0.05424880793367477,0.07620998506043711,0.07572261484827227,-2.4052137378258623e-05,0.00458911847750258,2.817398105591151,0.3444573176444595,-0.21963609764594202,-0.13120449039474721,-1.8766619342259734,-0.18173285261270009,-0.0,0.0045891184775025805,0.005494113315873962
0 days 00:00:01.400000,0.5694010141106776,-0.6553201639553737,0.5007693451407907,1.1591478327433145,-0.10039611225407738,-0.6198078707403943,-2.6297851054047374,0.409498648427502,0.4639352208125963,-2.6888828709105215,0.027725742532665982,-0.026257805203213844,0.0684849053981133,-2.4052137378258623e-05,0.0015989140459679594,2.822081694090469,0.3444573176444595,-0.21963609764594202,-0.13061561469286403,-1.8766631119994437,-0.18355224422492472,1.0076702512601686e-06,0.0015989140459679596,-0.005494113315873962
0 days 00:00:01.500000,0.5694010141106776,-0.6553201639553737,0.5007693451407907,1.1591478327433145,-0.10039611225407738,-0.6198078707403943,-2.6297851054047374,0.409498648427502,0.4639352208125963,-2.6888828709105215,-0.08455523433160457,-0.02325084973272296,0.0712686398020206,-2.4052137378258623e-05,0.0015989140459679594,2.8689170179564485,0.3444573176444595,-0.21963609764594202,-0.13061561469286403,-1.8766631119994437,-0.18537163583714933,-0.0,0.0015989140459679596,0.0
0 days 00:00:01.600000,0.5694010141106776,-0.6553201639553737,0.5007693451407907,1.1591478327433145,-0.10039611225407738,-0.6198078707403943,-2.6297851054047374,0.409498648427502,0.4639352208125963,-2.6888828709105215,0.05778521665380928,-0.009141289448111883,0.05920579071842232,-2.4052137378258623e-05,0.0015989140459679594,2.8782841949550857,0.3444573176444595,-0.21963609764594202,-0.13061561469286403,-1.8766631119994437,-0.18537163583714933,-0.0,0.0015989140459679596,0.0
0 days 00:00:01.700000,0.5694010141106776,-0.6553204977336256,0.5007693451407907,1.1591840294519444,-0.10047703341481286,-0.6225152688023798,-2.629001111187081,0.40362310468789575,0.45555263549463826,-2.689561503344909,0.021094976182413783,0.013642180847530598,0.07386679191233407,-2.4052137378258623e-05,0.0015989140459679594,2.882967643172603,0.3444573176444595,-0.21963609764594202,-0.13061561469286403,-1.8766276449813517,-0.1840892092876307,-3.0336938482162783e-05,0.0015989140459679596,0.0
0 days 00:00:01.800000,0.5694010141106776,-0.6553203266440815,0.5013708317718238,1.1591866932102601,-0.09836414681516421,-0.6205480760220324,-2.626201131838308,0.39995088985064187,0.4660308671420858,-2.6883876698600364,0.033251381157876146,0.01624435385084002,0.0741451653527248,-2.4052137378258623e-05,0.0015989140459679594,2.9251192382574627,0.3444573176444595,-0.21963609764594202,-0.13061561469286403,-1.8766250349218203,-0.18208293346059204,-2.2335057385179413e-06,0.0015989140459679596,0.0
0 days 00:00:01.900000,0.5694010141106776,-0.655320155554537,0.5019723202701205,1.1591893569685758,-0.09625126021551557,-0.6185808832416849,-2.6234011524895346,0.39627867501338804,0.4765090987895334,-2.6872138363751636,0.04540778613333851,0.018846526854149438,0.07442353879311552,-2.4052137378258623e-05,0.0015989140459679594,2.8782841949550857,0.3444573176444595,-0.21963609764594202,-0.13061561469286403,-1.8766224248622885,-0.18063342283454822,-2.2344813827948066e-06,0.0015989140459679596,0.0
0 days 00:00:02,0.5694010141106776,-0.655320155554537,0.5019723202701205,1.1591893569685758,-0.09625126021551557,-0.6185808832416849,-2.6234011524895346,0.39627867501338804,0.4765090987895334,-2.6872138363751636,0.03568266215296862,0.013526528714050178,0.06959839915967621,-2.4052137378258623e-05,0.0015989140459679594,2.88765109139012,0.3444573176444595,-0.21963609764594202,-0.13061561469286403,-1.8766224248622885,-0.1799077614860245,-0.0,0.0015989140459679596,0.0
